Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Disorderly Conduct ,21-0060 ,Reckling Park ,03/19/2021 7:29 p.m. ,3/19/2021,8:48 p.m. ,Friday,03/19/2021 8:48 p.m. ,County Citiation 
Burglary of a Motor Vehicle ,21-0061 ,BRC ,03/20/2021 7:18 a.m. ,3/19/2021,8:20 p.m. ,Friday,03/20/2021 7:15 a.m. ,Inactive 
Theft ,21-0063 ,BRC ,03/22/2021 1:05 p.m. ,3/21/2021,7 p.m. ,Sunday,03/22/2021 midnight ,Inactive 
Theft ,21-0064 ,Seibel Servery ,03/22/2021 10:12 a.m. ,3/22/2021,10:15 a.m. ,Monday,03/22/2021 11 a.m. ,Inactive 
Burglary (Clery) ,21-0067 ,Rice Village Townhomes ,03/25/2021 9:53 a.m. ,3/24/2021,11 a.m. ,Wednesday,03/24/2021 11:45 a.m. ,Inactive 
Fraud ,21-0068 ,Off Campus ,03/25/2021 3:52 p.m. ,3/14/2021,noon ,Sunday,03/14/2021 noon ,Inactive 
Burglary of a Motor Vehicle ,21-0069 ,Greenbriar Lot ,03/26/2021 2:02 p.m. ,3/21/2021,6 p.m. ,Sunday,03/26/2021 2 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0070 ,West Lot ,03/26/2021 7:43 p.m. ,3/26/2021,midnight ,Friday,03/26/2021 5:30 p.m. ,Inactive 
Theft ,21-0071 ,Duncan College ,03/27/2021 1:03 a.m. ,3/26/2021,5:30 p.m. ,Friday,03/26/2021 9 p.m. ,Unfounded 
Fraud ,21-0073 ,Rice Graduate Apartments ,03/29/2021 10:58 a.m. ,3/27/2021,midnight ,Saturday,03/29/2021 4 a.m. ,Inactive 
Theft ,21-0074 ,Duncan College ,03/29/2021 4:05 p.m. ,3/29/2021,2 p.m. ,Monday,03/29/2021 3:21 p.m. ,Inactive 
Theft ,21-0077 ,Jones College ,04/01/2021 11:30 a.m. ,3/28/2021,noon ,Sunday,03/29/2021 1 p.m. ,Inactive 
Warrants ,21-0078 ,George R. Brown Hall ,04/01/2021 3:12 p.m. ,4/1/2021,3:12 p.m. ,Thursday,04/01/2021 4:24 p.m. ,Criminal Arrest 
Criminal Mischief ,21-0079 ,Anderson Clarke ,04/01/2021 4:04 p.m. ,3/30/2021,11 a.m. ,Tuesday,04/01/2021 11 a.m. ,Inactive 
Disorderly Conduct ,21-0080 ,BRC ,04/02/2021 8:31 a.m. ,4/2/2021,8:31 a.m. ,Friday,04/02/2021 8:57 a.m. ,Criminal Arrest 
Fraud ,21-0081 ,Off Campus ,04/02/2021 7:57 a.m. ,3/15/2021,midnight ,Monday,03/15/2021 midnight ,Inactive 
Fraud ,21-0082 ,Off Campus ,04/02/2021 5:11 p.m. ,3/31/2021,midnight ,Wednesday,03/31/2021 midnight ,Inactive 
Burglary of a Motor Vehicle ,21-0083 ,BRC ,04/03/2021 7:08 a.m. ,4/2/2021,9:40 p.m. ,Friday,04/03/2021 7:08 a.m. ,Inactive 
Burglary (Clery) ,21-0085 ,Rice Stadium ,04/05/2021 7:42 a.m. ,1/1/2021,midnight ,Friday,03/15/2021 6:25 a.m. ,Inactive 
Fraud ,21-0086 ,Off Campus ,04/05/2021 1:38 p.m. ,3/28/2021,midnight ,Sunday,03/28/2021 midnight ,Inactive 
Fraud ,21-0087 ,Off Campus ,04/05/2021 4:10 p.m. ,4/5/2021,noon ,Monday,04/05/2021 noon ,Inactive 
Criminal Mischief ,21-0088 ,Hanszen College ,04/05/2021 6:24 p.m. ,4/4/2021,8:30 p.m. ,Sunday,04/05/2021 6:12 p.m. ,Inactive 
Fraud ,21-0089 ,Off Campus ,04/05/2021 10:33 p.m. ,3/24/2021,10 a.m. ,Wednesday,04/05/2021 10:30 p.m. ,Inactive 
Theft ,21-0090 ,Oshman Engineering ,04/05/2021 8:14 p.m. ,4/5/2021,1 p.m. ,Monday,04/05/2021 1:01 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0091 ,Herring Hall ,04/06/2021 1:24 p.m. ,4/6/2021,11:05 a.m. ,Tuesday,04/06/2021 1 p.m. ,Inactive 
Criminal Mischief ,21-0092 ,Duncan Hall ,04/06/2021 4:22 p.m. ,4/2/2021,midnight ,Friday,04/06/2021 4 p.m. ,Inactive 
Fraud ,21-0093 ,Off Campus ,04/07/2021 10:35 a.m. ,4/2/2021,3:20 p.m. ,Friday,04/02/2021 3:20 p.m. ,Inactive 
Theft ,21-0094 ,Duncan College ,04/07/2021 2:33 p.m. ,4/5/2021,4:15 p.m. ,Monday,04/07/2021 12:50 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0095 ,North Annex Lot ,04/07/2021 10:31 p.m. ,4/7/2021,2 p.m. ,Wednesday,04/07/2021 7 p.m. ,Inactive 
Fraud ,21-0096 ,Off Campus ,04/08/2021 12:40 p.m. ,4/6/2021,midnight ,Tuesday,04/08/2021 midnight ,Inactive 
Theft from a Vehicle ,21-0097 ,Cambridge Building ,04/09/2021 4:54 p.m. ,4/9/2021,4 a.m. ,Friday,04/09/2021 4 p.m. ,Inactive 
Possession of Fraudlent Identification ,21-0098 ,Baker College ,04/10/2021 10:16 a.m. ,4/10/2021,10:16 a.m. ,Saturday,04/10/2021 11:03 a.m. ,Judicial Referral 
Theft ,21-0099 ,Will Rice College ,04/09/2021 2:57 p.m. ,4/3/2021,12:30 p.m. ,Saturday,04/05/2021 5 p.m. ,Unfounded 
Theft from a Vehicle ,21-0100 ,BRC ,04/11/2021 6:49 a.m. ,4/10/2021,8 p.m. ,Saturday,04/11/2021 6:30 a.m. ,Inactive 
Fraud ,21-0103 ,Off Campus ,04/14/2021 9:41 a.m. ,3/14/2021,midnight ,Sunday,04/14/2021 midnight ,Inactive 
Fraud ,21-0104 ,Off Campus ,04/14/2021 10:31 a.m. ,4/8/2021,midnight ,Thursday,04/08/2021 noon ,Inactive 
Criminal Mischief ,21-0105 ,Greenbriar Lot ,04/14/2021 1:52 p.m. ,4/14/2021,1:50 p.m. ,Wednesday,04/14/2021 1:50 p.m. ,Inactive 
Harassment ,21-0107 ,Sewall Hall ,04/09/2021 8:55 a.m. ,4/8/2021,11 a.m. ,Thursday,04/08/2021 11:15 a.m. ,Inactive 
Theft ,21-0108 ,Jones College ,04/15/2021 1:14 p.m. ,4/12/2021,1 a.m. ,Monday,04/12/2021 1 p.m. ,Inactive 
Fraud ,21-0109 ,Off Campus ,04/15/2021 3:19 p.m. ,4/2/2021,midnight ,Friday,04/02/2021 midnight ,Inactive 
Failure to Stop and Give Information ,21-0110 ,West Lot ,04/16/2021 4:02 p.m. ,4/16/2021,6:40 a.m. ,Friday,04/16/2021 4 p.m. ,Inactive 
Aggravated Assault (Clery) ,21-0112 ,Entrance #8 ,04/17/2021 11:44 a.m. ,4/16/2021,5:30 p.m. ,Friday,04/16/2021 5:35 p.m. ,Inactive 
Fraud ,21-0113 ,Off Campus ,04/17/2021 9:17 p.m. ,4/9/2021,4:29 p.m. ,Friday,04/17/2021 9:17 p.m. ,Inactive 
Fraud ,21-0114 ,Off Campus ,04/20/2021 2:23 p.m. ,3/20/2021,noon ,Saturday,03/20/2021 noon ,Inactive 
Warrants ,21-0115 ,Wiess College ,04/21/2021 1:28 a.m. ,4/21/2021,1:28 a.m. ,Wednesday,04/21/2021 5:51 a.m. ,Criminal Arrest 
Fraud ,21-0117 ,Off Campus ,04/23/2021 1:41 p.m. ,4/20/2021,midnight ,Tuesday,04/20/2021 midnight ,Inactive 
Theft from a Vehicle ,21-0119 ,North Lot ,04/23/2021 7:44 p.m. ,4/20/2021,10 p.m. ,Tuesday,04/23/2021 7 p.m. ,Inactive 
Theft ,21-0120 ,Jones College ,04/24/2021 4:33 p.m. ,4/1/2021,midnight ,Thursday,04/20/2021 midnight ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,21-0121 ,Turrell Skyscape ,04/25/2021 3:23 p.m. ,4/25/2021,2:10 p.m. ,Sunday,04/25/2021 3 p.m. ,Inactive 
Failure to Stop and Give Information ,21-0123 ,West Lot ,04/27/2021 12:21 p.m. ,4/26/2021,9:10 a.m. ,Monday,04/26/2021 5:48 p.m. ,Inactive 
