Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Theft ,18-0294 ,Rice Memorial Center ,07/18/2018 1:52 p.m. ,7/6/2018,5 p.m. ,Friday,07/17/2018 8 a.m. ,Inactive 
Warrants ,18-0295 ,Entrance #8 ,07/18/2018 7:33 p.m. ,7/18/2018,7:30 p.m. ,Wednesday,07/18/2018 7:30 p.m. ,Criminal Arrest 
Theft ,18-0299 ,North Colleges Lot ,07/19/2018 11:26 p.m. ,7/19/2018,9:40 p.m. ,Thursday,07/19/2018 10:45 p.m. ,Inactive 
Theft ,18-0301 ,Oshman Engineering ,07/20/2018 10:55 p.m. ,7/14/2018,noon ,Saturday,07/17/2018 noon ,Inactive 
Disorderly Conduct ,18-0302 ,McMurtry College ,07/21/2018 2:09 p.m. ,7/21/2018,2 p.m. ,Saturday,07/21/2018 2:09 p.m. ,County Citiation 
Failure to Stop and Give Information ,18-0303 ,South Colleges Lot ,07/25/2018 12:44 p.m. ,7/25/2018,7:30 a.m. ,Wednesday,07/25/2018 12:40 p.m. ,Inactive 
Drug/Narcotic Violations (Clery) ,18-0304 ,Off Campus ,07/26/2018 6:53 p.m. ,7/26/2018,6:53 p.m. ,Thursday,07/26/2018 8:28 p.m. ,Criminal Arrest 
Theft ,18-0305 ,Mech Lab ,07/26/2018 7:47 p.m. ,7/26/2018,noon ,Thursday,07/26/2018 5 p.m. ,Inactive 
Theft ,18-0306 ,Housing and Dining ,07/26/2018 8:12 p.m. ,7/26/2018,5:30 p.m. ,Thursday,07/26/2018 6 p.m. ,Inactive 
Driving Under the Influence ,18-0307 ,Entrance #3 ,07/27/2018 2:32 a.m. ,7/27/2018,2:32 a.m. ,Friday,07/27/2018 5:02 a.m. ,Criminal Arrest 
Theft ,18-0308 ,Central Campus Garage ,07/27/2018 2:37 p.m. ,7/27/2018,12:27 p.m. ,Friday,07/27/2018 2:37 p.m. ,Judicial Referral 
Fraud ,18-0314 ,Off Campus ,08/01/2018 11:51 a.m. ,7/26/2018,2 p.m. ,Thursday,07/26/2018 2:01 p.m. ,Inactive 
Driving While License is Invalid ,18-0315 ,Entrance #20 ,08/01/2018 5:14 p.m. ,8/1/2018,5:14 p.m. ,Wednesday,08/01/2018 7:31 p.m. ,Criminal Arrest 
Theft ,18-0316 ,Rice Village Apartments ,08/02/2018 10:46 a.m. ,8/1/2018,6 p.m. ,Wednesday,08/02/2018 9 a.m. ,Inactive 
Public Intoxication ,18-0320 ,Soft Sidewalk ,08/05/2018 5:03 a.m. ,8/5/2018,5:04 a.m. ,Sunday,08/05/2018 6:11 a.m. ,County Citiation 
Driving While License is Invalid ,18-0323 ,Off Campus ,08/06/2018 3 p.m. ,8/6/2018,3 p.m. ,Monday,08/06/2018 5:42 p.m. ,Criminal Arrest 
Theft ,18-0325 ,Anderson Biology ,08/07/2018 3:32 p.m. ,8/6/2018,10 a.m. ,Monday,08/06/2018 8 p.m. ,Inactive 
Driving Without a License ,18-0326 ,Off Campus ,08/07/2018 11:48 p.m. ,8/7/2018,11:48 p.m. ,Tuesday,08/08/2018 12:51 a.m. ,Judicial Referral 
Theft ,18-0327 ,BRC ,08/08/2018 2:55 p.m. ,8/8/2018,12:30 p.m. ,Wednesday,08/08/2018 1:15 p.m. ,Inactive 
Theft ,18-0332 ,Jones College ,08/10/2018 1:43 p.m. ,8/10/2018,midnight ,Friday,08/10/2018 1:30 p.m. ,Inactive 
Theft ,18-0333 ,Greenbriar Lot ,08/10/2018 1:14 p.m. ,8/10/2018,1:22 p.m. ,Friday,08/10/2018 3:02 p.m. ,Judicial Referral 
Failure to Identify ,18-0334 ,Tudor Field House ,08/11/2018 5:37 p.m. ,8/11/2018,5:37 p.m. ,Saturday,08/11/2018 8:30 p.m. ,Criminal Arrest 
Criminal Trespass ,18-0335 ,Sid Richardson College ,08/11/2018 1:48 p.m. ,6/1/2018,midnight ,Friday,08/11/2018 midnight ,Inactive 
Theft ,18-0336 ,Seibel Servery ,08/12/2018 12:53 p.m. ,8/12/2018,12:53 p.m. ,Sunday,08/12/2018 2:02 p.m. ,Inactive 
Failure to Stop and Give Information ,18-0337 ,Off Campus ,08/12/2018 6:30 p.m. ,8/12/2018,6:30 p.m. ,Sunday,08/12/2018 6:51 p.m. ,Criminal Arrest 
Warrants ,18-0338 ,Soft Sidewalk ,08/13/2018 5:02 p.m. ,8/13/2018,5:07 p.m. ,Monday,08/13/2018 5:32 p.m. ,Criminal Arrest 
Theft ,18-0339 ,George R. Brown Hall ,08/13/2018 6:22 p.m. ,8/12/2018,1 p.m. ,Sunday,08/13/2018 2 p.m. ,Inactive 
Theft ,18-0340 ,Ryon Lab ,08/13/2018 6:35 p.m. ,8/10/2018,10:30 a.m. ,Friday,08/10/2018 4:30 p.m. ,Inactive 
Theft ,18-0343 ,Jones College ,08/15/2018 2:10 p.m. ,8/13/2018,6 p.m. ,Monday,08/15/2018 1:42 p.m. ,Inactive 
Warrants ,18-0344 ,Off Campus ,08/15/2018 7:42 p.m. ,8/15/2018,7:42 p.m. ,Wednesday,08/15/2018 8:20 p.m. ,Criminal Arrest 
Harassment ,18-0345 ,Off Campus ,08/16/2018 11:40 a.m. ,8/10/2018,12:40 a.m. ,Friday,08/11/2018 3:26 p.m. ,Inactive 
Burglary of a Motor Vehicle ,18-0346 ,College Way ,08/16/2018 4:29 p.m. ,8/16/2018,4:20 p.m. ,Thursday,08/16/2018 4:29 p.m. ,Inactive 
Harassment ,18-0349 ,Off Campus ,08/17/2018 2:23 p.m. ,8/17/2018,midnight ,Friday,08/17/2018 2:23 p.m. ,Inactive 
Harassment ,18-0350 ,Off Campus ,08/17/2018 2:27 p.m. ,8/17/2018,midnight ,Friday,08/17/2018 2:27 p.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,18-0353 ,Jones College ,08/19/2018 12:24 p.m. ,8/18/2018,11:59 p.m. ,Saturday,08/19/2018 12:15 p.m. ,Cleared 
Theft ,18-0354 ,Ryon Lab ,08/19/2018 10:20 p.m. ,8/17/2018,midnight ,Friday,08/19/2018 4:22 p.m. ,Inactive 
Harassment ,18-0356 ,Baker Hall ,08/20/2018 2:43 p.m. ,8/17/2018,3 p.m. ,Friday,08/18/2018 midnight ,Inactive 
Alcohol Violations (Clery) ,18-0357 ,Dell Butcher Hall ,08/21/2018 1:08 a.m. ,8/21/2018,1:08 a.m. ,Tuesday,08/21/2018 1:36 a.m. ,Judicial Referral 
Theft ,18-0358 ,Rec Center ,08/21/2018 9:29 p.m. ,8/20/2018,9:30 p.m. ,Monday,08/21/2018 midnight ,Unfounded 
Theft ,18-0359 ,North Colleges ,08/22/2018 12:26 p.m. ,8/6/2018,midnight ,Monday,08/19/2018 midnight ,Inactive 
Criminal Trespass ,18-0361 ,Cambridge Building ,08/23/2018 7:58 a.m. ,8/23/2018,7:55 a.m. ,Thursday,08/23/2018 10 a.m. ,Criminal Arrest 
Harassment ,18-0362 ,Rice Graduate Apartments ,08/23/2018 9:35 a.m. ,8/23/2018,9:30 a.m. ,Thursday,08/23/2018 9:35 a.m. ,Inactive 
Fraud ,18-0364 ,Baker Hall ,08/24/2018 6:54 p.m. ,8/24/2018,9:50 a.m. ,Friday,08/24/2018 4 p.m. ,Inactive 
Criminal Trespass ,18-0365 ,BRC ,08/24/2018 9:43 p.m. ,8/24/2018,9:43 p.m. ,Friday,08/24/2018 10:47 p.m. ,Criminal Arrest 
Alcohol Violations (Clery) ,18-0366 ,Laboratory Road ,08/25/2018 1:56 a.m. ,8/25/2018,1:57 a.m. ,Saturday,08/25/2018 1:57 a.m. ,Judicial Referral 
Public Intoxication ,18-0367 ,Rice Memorial Center ,08/25/2018 9:21 p.m. ,8/25/2018,9:25 p.m. ,Saturday,08/25/2018 10:44 p.m. ,Criminal Arrest 
Failure to Stop and Give Information ,18-0368 ,West Lot ,08/26/2018 10:37 a.m. ,8/25/2018,3:30 p.m. ,Saturday,08/26/2018 midnight ,Cleared 
Failure to Maintain Financial Responsibility ,18-0369 ,Laboratory Road ,08/27/2018 2:50 a.m. ,8/27/2018,2:58 a.m. ,Monday,08/27/2018 4:10 a.m. ,Criminal Arrest 
Theft ,18-0370 ,Wiess College ,08/26/2018 4:07 p.m. ,7/11/2018,midnight ,Wednesday,07/23/2018 midnight ,Inactive 
Warrants ,18-0371 ,BRC ,08/27/2018 3:54 p.m. ,8/27/2018,3:50 p.m. ,Monday,08/27/2018 4:56 p.m. ,Criminal Arrest 
Theft ,18-0372 ,Baker Hall ,08/28/2018 2:50 a.m. ,8/28/2018,2:51 a.m. ,Tuesday,08/28/2018 2:52 a.m. ,Criminal Arrest 
Theft ,18-0374 ,Rec Center ,08/28/2018 11:36 a.m. ,8/21/2018,noon ,Tuesday,08/26/2018 noon ,Inactive 
Harassment ,18-0375 ,Brown College ,08/29/2018 10:26 a.m. ,8/8/2018,midnight ,Wednesday,08/28/2018 midnight ,Cleared 
Theft ,18-0376 ,Jesse H. Jones School ,08/30/2018 12:46 p.m. ,8/30/2018,11:30 a.m. ,Thursday,08/30/2018 11:55 a.m. ,Inactive 
Theft ,18-0377 ,Greenbriar Lot ,08/30/2018 1:27 p.m. ,8/29/2018,5 a.m. ,Wednesday,08/30/2018 2 p.m. ,Judicial Referral 
Criminal Trespass ,18-0378 ,West Lot ,08/31/2018 12:34 p.m. ,8/31/2018,12:36 p.m. ,Friday,08/31/2018 12:52 p.m. ,County Citiation 
Theft ,18-0380 ,Off Campus ,09/05/2018 3:12 p.m. ,9/5/2018,12:15 p.m. ,Wednesday,09/05/2018 12:20 p.m. ,Inactive 
Harassment ,18-0381 ,Baker Hall ,09/06/2018 12:27 p.m. ,9/6/2018,12:15 p.m. ,Thursday,09/06/2018 12:25 p.m. ,Inactive 
Theft ,18-0382 ,Jesse H. Jones School ,09/07/2018 1:19 a.m. ,8/29/2018,midnight ,Wednesday,09/07/2018 midnight ,Inactive 
Theft ,18-0385 ,BRC ,09/07/2018 2:40 p.m. ,9/5/2018,11 a.m. ,Wednesday,09/05/2018 12:15 p.m. ,Inactive 
Theft ,18-0386 ,Brockman Engineering Building ,09/07/2018 7:33 p.m. ,9/7/2018,1 p.m. ,Friday,09/07/2018 7 p.m. ,Inactive 
Warrants ,18-0388 ,College Way ,09/02/2018 10:02 p.m. ,9/2/2018,10:04 p.m. ,Sunday,09/02/2018 11:17 p.m. ,Criminal Arrest 
Criminal Trespass ,18-0391 ,Rice Memorial Center ,09/10/2018 1:04 p.m. ,9/10/2018,9:48 a.m. ,Monday,09/10/2018 1:05 p.m. ,County Citiation 
Criminal Mischief ,18-0393 ,West Lot ,09/11/2018 2:44 p.m. ,9/11/2018,6:30 a.m. ,Tuesday,09/11/2018 2:44 p.m. ,Unfounded 
Fraud ,18-0395 ,Rice Memorial Center ,09/12/2018 9:37 a.m. ,9/11/2018,11:30 a.m. ,Tuesday,09/12/2018 midnight ,Inactive 
Theft ,18-0396 ,George R Brown Tennis ,09/12/2018 9:58 a.m. ,9/1/2018,10:30 a.m. ,Saturday,09/01/2018 2 p.m. ,Inactive 
Theft ,18-0397 ,Greenbriar Annex Building ,09/12/2018 6:33 p.m. ,9/12/2018,3:33 p.m. ,Wednesday,09/12/2018 3:45 p.m. ,Inactive 
Theft ,18-0398 ,Wiess College ,09/13/2018 7:45 a.m. ,9/12/2018,9:30 p.m. ,Wednesday,09/13/2018 7 a.m. ,Inactive 
Theft ,18-0399 ,Wiess College ,09/13/2018 5:05 p.m. ,9/12/2018,11 p.m. ,Wednesday,09/13/2018 11 a.m. ,Inactive 
Theft ,18-0401 ,Duncan College ,09/14/2018 10:15 a.m. ,9/10/2018,12:30 p.m. ,Monday,09/14/2018 8:50 a.m. ,Unfounded 
Drug/Narcotic Violations (Clery) ,18-0402 ,Brown College ,09/14/2018 6:15 p.m. ,9/14/2018,5 p.m. ,Friday,09/14/2018 6 p.m. ,Inactive 
Theft ,18-0405 ,Wiess College ,09/16/2018 10:23 a.m. ,9/10/2018,noon ,Monday,09/14/2018 6 a.m. ,Inactive 
Drug/Narcotic Violations (Clery) ,18-0408 ,Wiess College ,09/17/2018 1:09 a.m. ,9/17/2018,midnight ,Monday,09/17/2018 midnight ,Inactive 
Criminal Trespass ,18-0409 ,Geology ,09/17/2018 3:43 p.m. ,9/12/2018,midnight ,Wednesday,09/15/2018 9:15 p.m. ,Inactive 
Theft ,18-0410 ,Lovett Hall ,09/18/2018 10:28 a.m. ,9/17/2018,12:30 p.m. ,Monday,09/17/2018 5 p.m. ,Inactive 
Theft ,18-0412 ,Cambridge Building ,09/18/2018 8:01 a.m. ,7/1/2018,midnight ,Sunday,09/17/2018 5 p.m. ,Inactive 
Criminal Mischief ,18-0413 ,George R Brown Tennis ,09/20/2018 noon ,9/19/2018,5 p.m. ,Wednesday,09/20/2018 7:55 a.m. ,Inactive 
Theft ,18-0414 ,Baker College ,09/20/2018 11:53 a.m. ,9/17/2018,midnight ,Monday,09/20/2018 9:10 a.m. ,Inactive 
Fraud ,18-0415 ,Allen Center ,09/21/2018 8:50 a.m. ,9/17/2018,noon ,Monday,09/17/2018 noon ,Inactive 
Criminal Mischief ,18-0416 ,Alumni Drive ,09/21/2018 4:27 a.m. ,9/21/2018,4:05 a.m. ,Friday,09/21/2018 5:14 a.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,18-0417 ,Greenbriar Lot ,09/21/2018 1:26 p.m. ,9/20/2018,8 p.m. ,Thursday,09/21/2018 1 p.m. ,Inactive 
Assault ,18-0419 ,Baker College ,09/22/2018 1:50 a.m. ,9/22/2018,1:50 a.m. ,Saturday,09/22/2018 1:50 a.m. ,Judicial Referral 
Theft ,18-0420 ,Wiess College ,09/22/2018 2:12 p.m. ,9/22/2018,2:10 p.m. ,Saturday,09/22/2018 2:44 p.m. ,Criminal Arrest 
Theft ,18-0421 ,Jesse H. Jones School ,09/22/2018 6:58 p.m. ,9/22/2018,12:20 p.m. ,Saturday,09/22/2018 6 p.m. ,Inactive 
Theft ,18-0422 ,BRC ,09/21/2018 2:16 p.m. ,9/21/2018,12:45 p.m. ,Friday,09/21/2018 1:45 p.m. ,Inactive 
Burglary of a Motor Vehicle ,18-0426 ,West Lot ,09/26/2018 1:23 p.m. ,9/23/2018,6:30 p.m. ,Sunday,09/24/2018 1 p.m. ,Unfounded 
Warrants ,18-0427 ,Off Campus ,09/27/2018 9:57 a.m. ,9/27/2018,10:05 a.m. ,Thursday,09/27/2018 11:05 a.m. ,Criminal Arrest 
Fraud ,18-0428 ,Rice Graduate Apartments ,09/28/2018 8:02 p.m. ,9/28/2018,6:44 p.m. ,Friday,09/28/2018 8 p.m. ,Inactive 
Fraud ,18-0429 ,Jones College ,09/28/2018 8:35 p.m. ,9/20/2018,noon ,Thursday,09/29/2018 noon ,Inactive 
Disorderly Conduct ,18-0430 ,Jones College ,09/29/2018 11:45 p.m. ,9/29/2018,11:45 p.m. ,Saturday,09/29/2018 11:59 p.m. ,Judicial Referral 
Public Intoxication ,18-0431 ,Valhalla ,09/30/2018 2:18 a.m. ,9/30/2018,2:18 a.m. ,Sunday,09/30/2018 2:18 a.m. ,Judicial Referral 
Theft ,18-0433 ,Tudor Field House ,09/30/2018 1:04 p.m. ,9/28/2018,7 p.m. ,Friday,09/28/2018 10 p.m. ,Criminal Arrest 
Littering/Dumping ,18-0434 ,Rice Child Care Center ,10/01/2018 8:51 a.m. ,9/30/2018,6 p.m. ,Sunday,10/01/2018 7 a.m. ,Inactive 
Theft ,18-0435 ,BRC ,10/01/2018 9:59 a.m. ,9/26/2018,3 p.m. ,Wednesday,09/27/2018 5 p.m. ,Inactive 
Criminal Mischief ,18-0436 ,BRC ,10/01/2018 6:03 p.m. ,10/1/2018,9:30 a.m. ,Monday,10/01/2018 6 p.m. ,Unfounded 
Theft ,18-0437 ,Brown College ,09/30/2018 2:30 p.m. ,9/26/2018,7 p.m. ,Wednesday,09/27/2018 1 a.m. ,Inactive 
Fraud ,18-0438 ,Sid Richardson College ,10/01/2018 10:35 p.m. ,9/20/2018,6:33 p.m. ,Thursday,09/26/2018 midnight ,Inactive 
Theft ,18-0440 ,Ryon Lab ,10/02/2018 1:27 p.m. ,10/2/2018,12:10 p.m. ,Tuesday,10/02/2018 12:50 p.m. ,Inactive 
Burglary of a Motor Vehicle ,18-0441 ,BRC ,10/03/2018 2:50 p.m. ,10/3/2018,12:10 p.m. ,Wednesday,10/03/2018 2:40 p.m. ,Inactive 
Criminal Mischief ,18-0442 ,BRC ,10/03/2018 4:54 p.m. ,10/3/2018,10 a.m. ,Wednesday,10/03/2018 4:30 p.m. ,Inactive 
Warrants ,18-0443 ,Entrance #1 ,10/03/2018 9:12 p.m. ,10/3/2018,9:12 p.m. ,Wednesday,10/03/2018 9:12 p.m. ,Criminal Arrest 
Warrants ,18-0445 ,Off Campus ,10/04/2018 1:02 p.m. ,10/4/2018,1 p.m. ,Thursday,10/04/2018 2 p.m. ,Criminal Arrest 
Theft ,18-0446 ,Keck Hall ,10/04/2018 1:52 p.m. ,10/4/2018,11 a.m. ,Thursday,10/04/2018 1 p.m. ,Inactive 
Warrants ,18-0447 ,BRC ,10/05/2018 4:10 a.m. ,10/5/2018,4:10 a.m. ,Friday,10/05/2018 4:13 a.m. ,Criminal Arrest 
Theft ,18-0448 ,Baker College ,10/05/2018 8:21 a.m. ,10/4/2018,7 p.m. ,Thursday,10/04/2018 10 p.m. ,Inactive 
Criminal Trespass ,18-0449 ,BRC ,10/05/2018 9:37 a.m. ,10/5/2018,9:38 a.m. ,Friday,10/05/2018 10:31 a.m. ,Criminal Arrest 
Fraud ,18-0450 ,Jesse H. Jones School ,10/05/2018 1:11 p.m. ,12/4/2017,midnight ,Monday,10/03/2018 midnight ,Inactive 
Warrants ,18-0451 ,Rice University Police ,10/05/2018 3:15 p.m. ,10/5/2018,3:15 p.m. ,Friday,10/05/2018 3:58 p.m. ,Criminal Arrest 
Sex Offenses (Forcible) (Clery) ,18-0452 ,Unknown Location ,10/05/2018 5:14 p.m. ,3/10/2011,midnight ,Thursday,03/15/2011 midnight ,Inactive 
Theft ,18-0453 ,Wiess College ,10/05/2018 2:59 p.m. ,10/3/2018,3:41 p.m. ,Wednesday,10/05/2018 3:41 p.m. ,Inactive 
Warrants ,18-0455 ,Entrance #3 ,10/06/2018 10:47 p.m. ,10/6/2018,10:47 p.m. ,Saturday,10/06/2018 10:47 p.m. ,Criminal Arrest 
Theft ,18-0457 ,A. P. Brown Hall ,10/06/2018 7:56 p.m. ,10/6/2018,noon ,Saturday,10/06/2018 12:15 p.m. ,Inactive 
Theft ,18-0458 ,Wiess College ,10/05/2018 10:58 a.m. ,10/3/2018,10:30 p.m. ,Wednesday,10/04/2018 1 p.m. ,Inactive 
Theft ,18-0460 ,BRC ,10/09/2018 4:50 a.m. ,10/9/2018,4:50 a.m. ,Tuesday,10/09/2018 5:50 a.m. ,Criminal Arrest 
Theft ,18-0461 ,McMurtry College ,10/09/2018 1:56 p.m. ,10/5/2018,4 p.m. ,Friday,10/08/2018 9 p.m. ,Inactive 
Theft ,18-0462 ,BRC ,10/09/2018 2:32 p.m. ,10/9/2018,midnight ,Tuesday,10/09/2018 midnight ,Unfounded 
Failure to Stop and Give Information ,18-0463 ,North Annex Lot ,10/10/2018 6:18 p.m. ,10/10/2018,10 a.m. ,Wednesday,10/10/2018 8 p.m. ,Inactive 
Driving While License is Invalid ,18-0464 ,Off Campus ,10/10/2018 9:47 p.m. ,10/10/2018,9:47 p.m. ,Wednesday,10/10/2018 9:47 p.m. ,Criminal Arrest 
Warrants ,18-0466 ,Off Campus ,10/12/2018 1:52 p.m. ,10/12/2018,1:51 p.m. ,Friday,10/12/2018 2:50 p.m. ,Criminal Arrest 
Theft ,18-0467 ,BRC ,10/13/2018 3:31 p.m. ,10/13/2018,3:31 p.m. ,Saturday,10/13/2018 4:28 p.m. ,Criminal Arrest 
Criminal Mischief ,18-0468 ,Sid Richardson College ,10/13/2018 10:10 p.m. ,10/13/2018,10 p.m. ,Saturday,10/13/2018 10:10 p.m. ,Judicial Referral 
Theft ,18-0469 ,BRC ,10/14/2018 8:08 a.m. ,10/14/2018,8:08 a.m. ,Sunday,10/14/2018 10:28 a.m. ,Criminal Arrest 
Theft ,18-0471 ,Abercrombie ,10/15/2018 10:57 a.m. ,10/3/2018,8 a.m. ,Wednesday,10/09/2018 10 a.m. ,Inactive 
Failure to Stop and Give Information ,18-0472 ,Greenbriar Lot ,10/14/2018 9:43 p.m. ,10/6/2018,midnight ,Saturday,10/14/2018 noon ,Inactive 
Stalking ,18-0474 ,Jesse H. Jones School ,10/17/2018 4:48 p.m. ,10/16/2018,2 p.m. ,Tuesday,10/17/2018 6 p.m. ,Inactive 
Criminal Mischief ,18-0475 ,Herring Hall ,10/18/2018 10:55 a.m. ,10/17/2018,3:45 p.m. ,Wednesday,10/17/2018 5 p.m. ,Inactive 
Evading Detention ,18-0476 ,Off Campus ,10/12/2018 1:08 p.m. ,10/12/2018,1:12 p.m. ,Friday,10/12/2018 1:17 p.m. ,Inactive 
Warrants ,18-0477 ,Moody Lot ,10/19/2018 10:28 a.m. ,10/19/2018,10:36 a.m. ,Friday,10/19/2018 12:25 p.m. ,Criminal Arrest 
Warrants ,18-0478 ,Entrance #17 ,10/19/2018 3:12 p.m. ,10/19/2018,3:12 p.m. ,Friday,10/19/2018 4:02 p.m. ,Criminal Arrest 
Fraud ,18-0479 ,Anderson Hall ,10/20/2018 9:55 p.m. ,10/20/2018,9:45 p.m. ,Saturday,10/21/2018 2 a.m. ,Judicial Referral 
Public Intoxication ,18-0480 ,Anderson Hall ,10/21/2018 12:23 a.m. ,10/21/2018,12:23 a.m. ,Sunday,10/21/2018 12:30 a.m. ,Judicial Referral 
Theft ,18-0481 ,BRC ,10/21/2018 7:58 p.m. ,10/21/2018,8:01 p.m. ,Sunday,10/21/2018 8:35 p.m. ,Criminal Arrest 
Theft ,18-0482 ,Sewall Hall ,10/22/2018 10:44 a.m. ,10/19/2018,10 a.m. ,Friday,10/22/2018 10:30 a.m. ,Inactive 
Theft ,18-0485 ,Jesse H. Jones School ,10/27/2018 7:27 p.m. ,10/17/2018,noon ,Wednesday,10/17/2018 2 p.m. ,Inactive 
Driving While License is Invalid ,18-0486 ,College Way ,10/24/2018 11:33 a.m. ,10/24/2018,11:33 a.m. ,Wednesday,10/24/2018 12:11 p.m. ,Criminal Arrest 
Criminal Trespass ,18-0487 ,Library Service Center ,10/25/2018 4:57 p.m. ,10/25/2018,4:55 p.m. ,Thursday,10/25/2018 5:46 p.m. ,County Citiation 
Driving Under the Influence ,18-0488 ,Laboratory Road ,10/26/2018 7:40 p.m. ,10/26/2018,7:45 p.m. ,Friday,10/27/2018 2:49 a.m. ,Criminal Arrest 
Disorderly Conduct ,18-0489 ,Wiess College ,10/27/2018 9:25 p.m. ,10/27/2018,10 p.m. ,Saturday,10/28/2018 2:16 a.m. ,Judicial Referral 
Failure to Stop and Give Information ,18-0490 ,Duncan College ,10/28/2018 1:07 p.m. ,10/28/2018,11:30 a.m. ,Sunday,10/28/2018 1 p.m. ,Inactive 
Theft ,18-0491 ,BRC ,10/30/2018 9:38 a.m. ,10/26/2018,5 p.m. ,Friday,10/29/2018 2:30 p.m. ,Judicial Referral 
Criminal Mischief ,18-0492 ,West Lot ,10/31/2018 9:37 a.m. ,10/30/2018,9:52 p.m. ,Tuesday,10/31/2018 midnight ,Inactive 
Disorderly Conduct ,18-0493 ,Sewall Hall ,10/31/2018 11:48 a.m. ,10/31/2018,11:48 a.m. ,Wednesday,10/31/2018 12:59 p.m. ,Judicial Referral 
Theft ,18-0494 ,Greenbriar Lot ,11/01/2018 12:16 p.m. ,11/1/2018,10:18 a.m. ,Thursday,11/01/2018 10:18 a.m. ,Inactive 
Theft ,18-0496 ,Duncan College ,11/01/2018 10:15 p.m. ,11/1/2018,9:20 p.m. ,Thursday,11/01/2018 9:50 p.m. ,Inactive 
Criminal Mischief ,18-0497 ,Huff House ,11/02/2018 8:18 a.m. ,11/1/2018,10 p.m. ,Thursday,11/01/2018 11 p.m. ,Judicial Referral 
Aggravated Assault (Clery) ,18-0498 ,Jones College ,11/02/2018 12:37 p.m. ,11/1/2018,8 p.m. ,Thursday,11/01/2018 9 p.m. ,Judicial Referral 
Theft ,18-0499 ,Duncan College ,11/02/2018 1:30 p.m. ,11/1/2018,9 p.m. ,Thursday,11/01/2018 10:30 p.m. ,Inactive 
Disorderly Conduct ,18-0500 ,Cohen House ,11/02/2018 6:33 p.m. ,11/2/2018,6:33 p.m. ,Friday,11/02/2018 6:33 p.m. ,Cleared 
Fraud ,18-0503 ,Sid Richardson College ,11/03/2018 7:18 p.m. ,11/3/2018,1:15 p.m. ,Saturday,11/03/2018 1:15 p.m. ,Inactive 
Theft ,18-0504 ,Brown College ,11/05/2018 11:11 a.m. ,11/5/2018,12:05 a.m. ,Monday,11/05/2018 12:45 a.m. ,Inactive 
Failure to Stop and Give Information ,18-0505 ,Central Campus Garage ,11/06/2018 3:56 p.m. ,11/2/2018,4 p.m. ,Friday,11/02/2018 5 p.m. ,Inactive 
Theft ,18-0506 ,Greenbriar Lot ,11/07/2018 6:48 a.m. ,11/7/2018,6:48 a.m. ,Wednesday,11/07/2018 7:50 a.m. ,Judicial Referral 
Theft ,18-0507 ,Jones College ,11/08/2018 1:08 p.m. ,11/8/2018,1:08 p.m. ,Thursday,11/08/2018 1:12 p.m. ,Inactive 
Fraud ,18-0508 ,Brockman Engineering Building ,11/08/2018 3:20 p.m. ,9/10/2018,midnight ,Monday,11/08/2018 midnight ,Inactive 
Theft ,18-0510 ,West Lot ,11/12/2018 10:18 a.m. ,11/8/2018,6 p.m. ,Thursday,11/12/2018 5:30 a.m. ,Unfounded 
Failure to Stop and Give Information ,18-0511 ,North Colleges Lot ,11/12/2018 12:54 p.m. ,11/7/2018,8 p.m. ,Wednesday,11/11/2018 10 a.m. ,Inactive 
Theft ,18-0512 ,Jones College ,11/12/2018 10:34 a.m. ,11/1/2018,6:22 a.m. ,Thursday,11/09/2018 6:22 a.m. ,Inactive 
Theft ,18-0513 ,Duncan Hall ,11/12/2018 1:47 p.m. ,11/12/2018,noon ,Monday,11/12/2018 noon ,Inactive 
Theft ,18-0514 ,Duncan College ,11/12/2018 8:13 p.m. ,11/11/2018,10 p.m. ,Sunday,11/12/2018 7:45 p.m. ,Criminal Arrest 
Theft ,18-0515 ,Oshman Engineering ,11/12/2018 8:08 p.m. ,11/10/2018,2 p.m. ,Saturday,11/10/2018 3 p.m. ,Inactive 
Fraud ,18-0516 ,Off Campus ,11/13/2018 3:01 p.m. ,11/5/2018,midnight ,Monday,11/07/2018 7:30 a.m. ,Inactive 
Theft ,18-0517 ,McMurtry College ,11/13/2018 10:35 p.m. ,11/13/2018,7 p.m. ,Tuesday,11/13/2018 9:30 p.m. ,Inactive 
Warrants ,18-0518 ,Entrance #8 ,11/15/2018 12:15 p.m. ,11/15/2018,12:15 p.m. ,Thursday,11/15/2018 1:40 p.m. ,Criminal Arrest 
Criminal Trespass ,18-0520 ,Jesse H. Jones School ,11/15/2018 5:49 p.m. ,11/15/2018,5:49 p.m. ,Thursday,11/15/2018 6:56 p.m. ,Inactive 
Burglary (Clery) ,18-0521 ,Hanszen College ,11/17/2018 12:12 p.m. ,10/27/2018,4 p.m. ,Saturday,10/28/2018 noon ,Inactive 
Obstruct Police ,18-0522 ,Cohen House ,11/17/2018 10:22 p.m. ,11/17/2018,10:22 p.m. ,Saturday,11/17/2018 11:19 p.m. ,Criminal Arrest 
